class,index,kaggle_folder
miniature pinscher,237,n02107312
Greater Swiss Mountain dog,238,n02107574
Bernese mountain dog,239,n02107683
Appenzeller,240,n02107908
EntleBucher,241,n02108000
boxer,242,n02108089
bull mastiff,243,n02108422
Tibetan mastiff,244,n02108551
French bulldog,245,n02108915
Great Dane,246,n02109047
Saint Bernard,247,n02109525
Eskimo dog,248,n02109961
malamute,249,n02110063
Siberian husky,250,n02110185
dalmatian,251,n02110341
affenpinscher,252,n02110627
basenji,253,n02110806
pug,254,n02110958
Leonberg,255,n02111129
Newfoundland,256,n02111277
Great Pyrenees,257,n02111500
Samoyed,258,n02111889
Pomeranian,259,n02112018
chow,260,n02112137
keeshond,261,n02112350
Brabancon griffon,262,n02112706
Pembroke,263,n02113023
Cardigan,264,n02113186
toy poodle,265,n02113624
miniature poodle,266,n02113712
standard poodle,267,n02113799
Mexican hairless,268,n02113978
timber wolf,269,n02114367
white wolf,270,n02114548
red wolf,271,n02114712
coyote,272,n02114855
dingo,273,n02115641
dhole,274,n02115913
African hunting dog,275,n02116738
hyena,276,n02117135
red fox,277,n02119022
kit fox,278,n02119789
Arctic fox,279,n02120079
grey fox,280,n02120505
tabby,281,n02123045
tiger cat,282,n02123159
Persian cat,283,n02123394
Siamese cat,284,n02123597
Egyptian cat,285,n02124075
cougar,286,n02125311
lynx,287,n02127052
leopard,288,n02128385
snow leopard,289,n02128757
jaguar,290,n02128925
lion,291,n02129165
tiger,292,n02129604
cheetah,293,n02130308
brown bear,294,n02132136
American black bear,295,n02133161
ice bear,296,n02134084
sloth bear,297,n02134418
mongoose,298,n02137549
meerkat,299,n02138441
tiger beetle,300,n02165105
ladybug,301,n02165456
ground beetle,302,n02167151
long-horned beetle,303,n02168699
leaf beetle,304,n02169497
dung beetle,305,n02172182
rhinoceros beetle,306,n02174001
weevil,307,n02177972
fly,308,n02190166
bee,309,n02206856
ant,310,n02219486
grasshopper,311,n02226429
cricket,312,n02229544
walking stick,313,n02231487
cockroach,314,n02233338
mantis,315,n02236044
cicada,316,n02256656
leafhopper,317,n02259212
lacewing,318,n02264363
dragonfly,319,n02268443
damselfly,320,n02268853
admiral,321,n02276258
ringlet,322,n02277742
monarch,323,n02279972
cabbage butterfly,324,n02280649
sulphur butterfly,325,n02281406
lycaenid,326,n02281787
starfish,327,n02317335
sea urchin,328,n02319095
sea cucumber,329,n02321529
wood rabbit,330,n02325366
hare,331,n02326432
Angora,332,n02328150
hamster,333,n02342885
porcupine,334,n02346627
fox squirrel,335,n02356798
marmot,336,n02361337
beaver,337,n02363005
guinea pig,338,n02364673
sorrel,339,n02389026
zebra,340,n02391049
hog,341,n02395406
wild boar,342,n02396427
warthog,343,n02397096
hippopotamus,344,n02398521
ox,345,n02403003
water buffalo,346,n02408429
bison,347,n02410509
ram,348,n02412080
bighorn,349,n02415577
ibex,350,n02417914
hartebeest,351,n02422106
impala,352,n02422699
gazelle,353,n02423022
Arabian camel,354,n02437312
llama,355,n02437616
weasel,356,n02441942
mink,357,n02442845
polecat,358,n02443114
black-footed ferret,359,n02443484
otter,360,n02444819
skunk,361,n02445715
badger,362,n02447366
armadillo,363,n02454379
three-toed sloth,364,n02457408
orangutan,365,n02480495
gorilla,366,n02480855
chimpanzee,367,n02481823
gibbon,368,n02483362
siamang,369,n02483708
guenon,370,n02484975
patas,371,n02486261
baboon,372,n02486410
macaque,373,n02487347
langur,374,n02488291
colobus,375,n02488702
proboscis monkey,376,n02489166
marmoset,377,n02490219
capuchin,378,n02492035
howler monkey,379,n02492660
titi,380,n02493509
spider monkey,381,n02493793
squirrel monkey,382,n02494079
Madagascar cat,383,n02497673
indri,384,n02500267
Indian elephant,385,n02504013
African elephant,386,n02504458
lesser panda,387,n02509815
giant panda,388,n02510455
barracouta,389,n02514041
eel,390,n02526121
coho,391,n02536864
rock beauty,392,n02606052
anemone fish,393,n02607072
sturgeon,394,n02640242
gar,395,n02641379
lionfish,396,n02643566
puffer,397,n02655020
abacus,398,n02666196
abaya,399,n02667093
academic gown,400,n02669723
accordion,401,n02672831
acoustic guitar,402,n02676566
aircraft carrier,403,n02687172
airliner,404,n02690373
airship,405,n02692877
altar,406,n02699494
ambulance,407,n02701002
amphibian,408,n02704792
analog clock,409,n02708093
apiary,410,n02727426
apron,411,n02730930
ashcan,412,n02747177
assault rifle,413,n02749479
backpack,414,n02769748
bakery,415,n02776631
balance beam,416,n02777292
balloon,417,n02782093
ballpoint,418,n02783161
Band Aid,419,n02786058
banjo,420,n02787622
bannister,421,n02788148
barbell,422,n02790996
barber chair,423,n02791124
barbershop,424,n02791270
barn,425,n02793495
barometer,426,n02794156
barrel,427,n02795169
barrow,428,n02797295
baseball,429,n02799071
basketball,430,n02802426
bassinet,431,n02804414
bassoon,432,n02804610
bathing cap,433,n02807133
bath towel,434,n02808304
bathtub,435,n02808440
beach wagon,436,n02814533
beacon,437,n02814860
beaker,438,n02815834
bearskin,439,n02817516
beer bottle,440,n02823428
beer glass,441,n02823750
bell cote,442,n02825657
bib,443,n02834397
bicycle-built-for-two,444,n02835271
bikini,445,n02837789
binder,446,n02840245
binoculars,447,n02841315
birdhouse,448,n02843684
boathouse,449,n02859443
bobsled,450,n02860847
bolo tie,451,n02865351
bonnet,452,n02869837
bookcase,453,n02870880
bookshop,454,n02871525
bottlecap,455,n02877765
bow,456,n02879718
bow tie,457,n02883205
brass,458,n02892201
brassiere,459,n02892767
breakwater,460,n02894605
breastplate,461,n02895154
broom,462,n02906734
bucket,463,n02909870
buckle,464,n02910353
bulletproof vest,465,n02916936
bullet train,466,n02917067
butcher shop,467,n02927161
cab,468,n02930766
caldron,469,n02939185
candle,470,n02948072
cannon,471,n02950826
canoe,472,n02951358
can opener,473,n02951585
cardigan,474,n02963159
car mirror,475,n02965783
carousel,476,n02966193
carpenter's kit,477,n02966687
carton,478,n02971356
car wheel,479,n02974003
cash machine,480,n02977058
cassette,481,n02978881
cassette player,482,n02979186
castle,483,n02980441
catamaran,484,n02981792
CD player,485,n02988304
cello,486,n02992211
cellular telephone,487,n02992529
chain,488,n02999410
chainlink fence,489,n03000134
chain mail,490,n03000247
chain saw,491,n03000684
chest,492,n03014705
chiffonier,493,n03016953
chime,494,n03017168
china cabinet,495,n03018349
Christmas stocking,496,n03026506
church,497,n03028079
cinema,498,n03032252
cleaver,499,n03041632
cliff dwelling,500,n03042490
cloak,501,n03045698
clog,502,n03047690
cocktail shaker,503,n03062245
coffee mug,504,n03063599
coffeepot,505,n03063689
coil,506,n03065424
combination lock,507,n03075370
computer keyboard,508,n03085013
confectionery,509,n03089624
container ship,510,n03095699
convertible,511,n03100240
corkscrew,512,n03109150
cornet,513,n03110669
cowboy boot,514,n03124043
cowboy hat,515,n03124170
cradle,516,n03125729
crane,517,n03126707
crash helmet,518,n03127747
crate,519,n03127925
crib,520,n03131574
Crock Pot,521,n03133878
croquet ball,522,n03134739
crutch,523,n03141823
cuirass,524,n03146219
dam,525,n03160309
desk,526,n03179701
desktop computer,527,n03180011
dial telephone,528,n03187595
diaper,529,n03188531
digital clock,530,n03196217
digital watch,531,n03197337
dining table,532,n03201208
dishrag,533,n03207743
dishwasher,534,n03207941
disk brake,535,n03208938
dock,536,n03216828
dogsled,537,n03218198
dome,538,n03220513
doormat,539,n03223299
drilling platform,540,n03240683
drum,541,n03249569
drumstick,542,n03250847
dumbbell,543,n03255030
Dutch oven,544,n03259280
electric fan,545,n03271574
electric guitar,546,n03272010
electric locomotive,547,n03272562
entertainment center,548,n03290653
envelope,549,n03291819
espresso maker,550,n03297495
face powder,551,n03314780
feather boa,552,n03325584
file,553,n03337140
fireboat,554,n03344393
fire engine,555,n03345487
fire screen,556,n03347037
flagpole,557,n03355925
flute,558,n03372029
folding chair,559,n03376595
football helmet,560,n03379051
forklift,561,n03384352
fountain,562,n03388043
fountain pen,563,n03388183
four-poster,564,n03388549
freight car,565,n03393912
French horn,566,n03394916
frying pan,567,n03400231
fur coat,568,n03404251
garbage truck,569,n03417042
gasmask,570,n03424325
gas pump,571,n03425413
goblet,572,n03443371
go-kart,573,n03444034
golf ball,574,n03445777
golfcart,575,n03445924
gondola,576,n03447447
gong,577,n03447721
gown,578,n03450230
grand piano,579,n03452741
greenhouse,580,n03457902
grille,581,n03459775
grocery store,582,n03461385
guillotine,583,n03467068
hair slide,584,n03476684
hair spray,585,n03476991
half track,586,n03478589
hammer,587,n03481172
hamper,588,n03482405
hand blower,589,n03483316
hand-held computer,590,n03485407
handkerchief,591,n03485794
hard disc,592,n03492542
harmonica,593,n03494278
harp,594,n03495258
harvester,595,n03496892
hatchet,596,n03498962
holster,597,n03527444
home theater,598,n03529860
honeycomb,599,n03530642
hook,600,n03532672
hoopskirt,601,n03534580
horizontal bar,602,n03535780
horse cart,603,n03538406
hourglass,604,n03544143
iPod,605,n03584254
iron,606,n03584829
jack-o'-lantern,607,n03590841
jean,608,n03594734
jeep,609,n03594945
jersey,610,n03595614
jigsaw puzzle,611,n03598930
jinrikisha,612,n03599486
joystick,613,n03602883
kimono,614,n03617480
knee pad,615,n03623198
knot,616,n03627232
lab coat,617,n03630383
ladle,618,n03633091
lampshade,619,n03637318
laptop,620,n03642806
lawn mower,621,n03649909
lens cap,622,n03657121
letter opener,623,n03658185
library,624,n03661043
lifeboat,625,n03662601
lighter,626,n03666591
limousine,627,n03670208
liner,628,n03673027
lipstick,629,n03676483
Loafer,630,n03680355
lotion,631,n03690938
loudspeaker,632,n03691459
loupe,633,n03692522
lumbermill,634,n03697007
magnetic compass,635,n03706229
mailbag,636,n03709823
mailbox,637,n03710193
maillot,638,n03710637
maillot,639,n03710721
manhole cover,640,n03717622
maraca,641,n03720891
marimba,642,n03721384
mask,643,n03724870
matchstick,644,n03729826
maypole,645,n03733131
maze,646,n03733281
measuring cup,647,n03733805
medicine chest,648,n03742115
megalith,649,n03743016
microphone,650,n03759954
microwave,651,n03761084
military uniform,652,n03763968
milk can,653,n03764736
minibus,654,n03769881
miniskirt,655,n03770439
minivan,656,n03770679
missile,657,n03773504
mitten,658,n03775071
mixing bowl,659,n03775546
mobile home,660,n03776460
Model T,661,n03777568
modem,662,n03777754
monastery,663,n03781244
monitor,664,n03782006
moped,665,n03785016
mortar,666,n03786901
mortarboard,667,n03787032
mosque,668,n03788195
mosquito net,669,n03788365
motor scooter,670,n03791053
mountain bike,671,n03792782
mountain tent,672,n03792972
mouse,673,n03793489
mousetrap,674,n03794056
moving van,675,n03796401
muzzle,676,n03803284
nail,677,n03804744
neck brace,678,n03814639
necklace,679,n03814906
nipple,680,n03825788
notebook,681,n03832673
obelisk,682,n03837869
oboe,683,n03838899
ocarina,684,n03840681
odometer,685,n03841143
oil filter,686,n03843555
organ,687,n03854065
oscilloscope,688,n03857828
overskirt,689,n03866082
oxcart,690,n03868242
oxygen mask,691,n03868863
packet,692,n03871628
paddle,693,n03873416
paddlewheel,694,n03874293
padlock,695,n03874599
paintbrush,696,n03876231
pajama,697,n03877472
palace,698,n03877845
panpipe,699,n03884397
paper towel,700,n03887697
parachute,701,n03888257
parallel bars,702,n03888605
park bench,703,n03891251
parking meter,704,n03891332
passenger car,705,n03895866
patio,706,n03899768
pay-phone,707,n03902125
pedestal,708,n03903868
pencil box,709,n03908618
pencil sharpener,710,n03908714
perfume,711,n03916031
Petri dish,712,n03920288
photocopier,713,n03924679
pick,714,n03929660
pickelhaube,715,n03929855
picket fence,716,n03930313
pickup,717,n03930630
pier,718,n03933933
piggy bank,719,n03935335
pill bottle,720,n03937543
pillow,721,n03938244
ping-pong ball,722,n03942813
pinwheel,723,n03944341
pirate,724,n03947888
pitcher,725,n03950228
plane,726,n03954731
planetarium,727,n03956157
plastic bag,728,n03958227
plate rack,729,n03961711
plow,730,n03967562
plunger,731,n03970156
Polaroid camera,732,n03976467
pole,733,n03976657
police van,734,n03977966
poncho,735,n03980874
pool table,736,n03982430
pop bottle,737,n03983396
pot,738,n03991062
potter's wheel,739,n03992509
power drill,740,n03995372
prayer rug,741,n03998194
printer,742,n04004767
prison,743,n04005630
projectile,744,n04008634
projector,745,n04009552
puck,746,n04019541
punching bag,747,n04023962
purse,748,n04026417
quill,749,n04033901
quilt,750,n04033995
racer,751,n04037443
racket,752,n04039381
radiator,753,n04040759
radio,754,n04041544
radio telescope,755,n04044716
rain barrel,756,n04049303
recreational vehicle,757,n04065272
reel,758,n04067472
reflex camera,759,n04069434
refrigerator,760,n04070727
remote control,761,n04074963
restaurant,762,n04081281
revolver,763,n04086273
rifle,764,n04090263
rocking chair,765,n04099969
rotisserie,766,n04111531
rubber eraser,767,n04116512
rugby ball,768,n04118538
rule,769,n04118776
running shoe,770,n04120489
safe,771,n04125021
safety pin,772,n04127249
saltshaker,773,n04131690
sandal,774,n04133789
sarong,775,n04136333
sax,776,n04141076
scabbard,777,n04141327
scale,778,n04141975
school bus,779,n04146614
schooner,780,n04147183
scoreboard,781,n04149813
screen,782,n04152593
screw,783,n04153751
screwdriver,784,n04154565
seat belt,785,n04162706
sewing machine,786,n04179913
shield,787,n04192698
shoe shop,788,n04200800
shoji,789,n04201297
shopping basket,790,n04204238
shopping cart,791,n04204347
shovel,792,n04208210
shower cap,793,n04209133
shower curtain,794,n04209239
ski,795,n04228054
ski mask,796,n04229816
sleeping bag,797,n04235860
slide rule,798,n04238763
sliding door,799,n04239074
slot,800,n04243546
snorkel,801,n04251144
snowmobile,802,n04252077
snowplow,803,n04252225
soap dispenser,804,n04254120
soccer ball,805,n04254680
sock,806,n04254777
solar dish,807,n04258138
sombrero,808,n04259630
soup bowl,809,n04263257
space bar,810,n04264628
space heater,811,n04265275
space shuttle,812,n04266014
spatula,813,n04270147
speedboat,814,n04273569
spider web,815,n04275548
spindle,816,n04277352
sports car,817,n04285008
spotlight,818,n04286575
stage,819,n04296562
steam locomotive,820,n04310018
steel arch bridge,821,n04311004
steel drum,822,n04311174
stethoscope,823,n04317175
stole,824,n04325704
stone wall,825,n04326547
stopwatch,826,n04328186
stove,827,n04330267
strainer,828,n04332243
streetcar,829,n04335435
stretcher,830,n04336792
studio couch,831,n04344873
stupa,832,n04346328
submarine,833,n04347754
suit,834,n04350905
sundial,835,n04355338
sunglass,836,n04355933
sunglasses,837,n04356056
sunscreen,838,n04357314
suspension bridge,839,n04366367
swab,840,n04367480
sweatshirt,841,n04370456
swimming trunks,842,n04371430
swing,843,n04371774
switch,844,n04372370
syringe,845,n04376876
table lamp,846,n04380533
tank,847,n04389033
tape player,848,n04392985
teapot,849,n04398044
teddy,850,n04399382
television,851,n04404412
tennis ball,852,n04409515
thatch,853,n04417672
theater curtain,854,n04418357
thimble,855,n04423845
thresher,856,n04428191
throne,857,n04429376
tile roof,858,n04435653
toaster,859,n04442312
tobacco shop,860,n04443257
toilet seat,861,n04447861
torch,862,n04456115
totem pole,863,n04458633
tow truck,864,n04461696
toyshop,865,n04462240
tractor,866,n04465501
trailer truck,867,n04467665
tray,868,n04476259
trench coat,869,n04479046
tricycle,870,n04482393
trimaran,871,n04483307
tripod,872,n04485082
triumphal arch,873,n04486054
trolleybus,874,n04487081
trombone,875,n04487394
tub,876,n04493381
turnstile,877,n04501370
typewriter keyboard,878,n04505470
umbrella,879,n04507155
unicycle,880,n04509417
upright,881,n04515003
vacuum,882,n04517823
vase,883,n04522168
vault,884,n04523525
velvet,885,n04525038
vending machine,886,n04525305
vestment,887,n04532106
viaduct,888,n04532670
violin,889,n04536866
volleyball,890,n04540053
waffle iron,891,n04542943
wall clock,892,n04548280
wallet,893,n04548362
wardrobe,894,n04550184
warplane,895,n04552348
washbasin,896,n04553703
washer,897,n04554684
water bottle,898,n04557648
water jug,899,n04560804
water tower,900,n04562935
whiskey jug,901,n04579145
whistle,902,n04579432
wig,903,n04584207
window screen,904,n04589890
window shade,905,n04590129
Windsor tie,906,n04591157
wine bottle,907,n04591713
wing,908,n04592741
wok,909,n04596742
wooden spoon,910,n04597913
wool,911,n04599235
worm fence,912,n04604644
wreck,913,n04606251
yawl,914,n04612504
yurt,915,n04613696
web site,916,n06359193
comic book,917,n06596364
crossword puzzle,918,n06785654
street sign,919,n06794110
traffic light,920,n06874185
book jacket,921,n07248320
menu,922,n07565083
plate,923,n07579787
guacamole,924,n07583066
consomme,925,n07584110
hot pot,926,n07590611
trifle,927,n07613480
ice cream,928,n07614500
ice lolly,929,n07615774
French loaf,930,n07684084
bagel,931,n07693725
pretzel,932,n07695742
cheeseburger,933,n07697313
hotdog,934,n07697537
mashed potato,935,n07711569
head cabbage,936,n07714571
broccoli,937,n07714990
cauliflower,938,n07715103
zucchini,939,n07716358
spaghetti squash,940,n07716906
acorn squash,941,n07717410
butternut squash,942,n07717556
cucumber,943,n07718472
artichoke,944,n07718747
bell pepper,945,n07720875
cardoon,946,n07730033
mushroom,947,n07734744
Granny Smith,948,n07742313
strawberry,949,n07745940
orange,950,n07747607
lemon,951,n07749582
fig,952,n07753113
pineapple,953,n07753275
banana,954,n07753592
jackfruit,955,n07754684
custard apple,956,n07760859
pomegranate,957,n07768694
hay,958,n07802026
carbonara,959,n07831146
chocolate sauce,960,n07836838
dough,961,n07860988
meat loaf,962,n07871810
pizza,963,n07873807
potpie,964,n07875152
burrito,965,n07880968
red wine,966,n07892512
espresso,967,n07920052
cup,968,n07930864
eggnog,969,n07932039
alp,970,n09193705
bubble,971,n09229709
cliff,972,n09246464
coral reef,973,n09256479
geyser,974,n09288635
lakeside,975,n09332890
promontory,976,n09399592
sandbar,977,n09421951
seashore,978,n09428293
valley,979,n09468604
volcano,980,n09472597
ballplayer,981,n09835506
groom,982,n10148035
scuba diver,983,n10565667
rapeseed,984,n11879895
daisy,985,n11939491
yellow lady's slipper,986,n12057211
corn,987,n12144580
acorn,988,n12267677
hip,989,n12620546
buckeye,990,n12768682
coral fungus,991,n12985857
agaric,992,n12998815
gyromitra,993,n13037406
stinkhorn,994,n13040303
earthstar,995,n13044778
hen-of-the-woods,996,n13052670
bolete,997,n13054560
ear,998,n13133613
toilet tissue,999,n15075141
